,日期,证券简称,收盘价,PE_TTM,操作,原因
0,20180502,国药股份,28.04,17.1368,买入,达到买点
1,20180502,东阿阿胶,53.02,16.9218,买入,达到买点
2,20180502,荣盛发展,10.11,7.4466,买入,达到买点
3,20180621,中鼎股份,14.05,14.5644,买入,达到买点
4,20180628,天士力,24.72,26.1507,买入,达到买点
5,20180628,兴业银行,14.23,5.0941,买入,达到买点
6,20180702,老凤祥,35.38,15.9653,买入,达到买点
7,20180705,金螳螂,9.4,12.4646,买入,达到买点
8,20180801,承德露露,9.11,20.3108,买入,达到买点
9,20180801,大华股份,18.13,21.2115,买入,达到买点
10,20180806,恩华药业,15.5,35.3417,买入,达到买点
11,20180815,宇通客车,15.26,10.8714,买入,达到买点
12,20180817,正泰电器,21.2,13.5505,买入,达到买点
13,20180831,信立泰,29.29,20.2743,买入,达到买点
14,20181012,长春高新,182.49,33.5283,买入,达到买点
15,20181012,云南白药,70.23,22.763,买入,达到买点
16,20181025,海尔智家,12.71,10.5332,买入,达到买点
17,20181025,古井贡酒,63.92,21.5712,买入,达到买点
18,20181026,华东医药,35.0,24.3095,买入,达到买点
19,20190506,国药股份,23.43,12.4746,卖出,R15剔除卖出
20,20190506,中鼎股份,10.31,12.0023,卖出,R15剔除卖出
21,20190506,兴业银行,19.34,6.4157,卖出,R15剔除卖出
22,20190506,宇通客车,13.19,12.601,卖出,R15剔除卖出
23,20190506,德赛电池,27.94,14.5838,买入,达到买点
24,20200103,长春高新,472.0,67.8169,卖出,达到卖点
25,20200319,万科A,25.23,7.3357,买入,达到买点
26,20200319,洋河股份,82.2,16.8729,买入,达到买点
27,20200327,东阿阿胶,26.98,,卖出,R15剔除卖出
28,20200413,信立泰,18.9,36.3613,卖出,达到卖点
29,20200506,天士力,14.4,25.6837,卖出,R15剔除卖出
30,20200506,云南白药,91.3,25.2466,卖出,R15剔除卖出
31,20200506,古井贡酒,134.12,34.6209,卖出,R15剔除卖出
32,20200507,华夏幸福,23.2,4.8096,买入,达到买点
33,20200807,海尔智家,22.59,20.816,卖出,达到卖点
34,20201022,洋河股份,167.82,34.0739,卖出,达到卖点
35,20210430,华夏幸福,5.57,,卖出,R15剔除卖出
36,20210506,金螳螂,9.31,9.9442,卖出,R15剔除卖出
37,20210506,恩华药业,15.64,20.7718,卖出,R15剔除卖出
38,20210622,苏泊尔,64.17,25.6411,买入,达到买点
39,20210629,承德露露,12.08,28.1702,卖出,达到卖点
40,20210818,长春高新,283.9,31.3917,买入,达到买点
41,20210820,恒瑞医药,48.46,48.9452,买入,达到买点
42,20210823,济川药业,15.79,9.6975,买入,达到买点
43,20210922,索菲亚,16.65,11.7262,买入,达到买点
44,20220315,美的集团,54.4,13.2763,买入,达到买点
45,20220315,格力电器,31.2,7.6502,买入,达到买点
46,20220315,承德露露,7.68,15.5292,买入,达到买点
47,20220411,联美控股,6.82,12.4222,买入,达到买点
48,20220412,索菲亚,20.53,152.8116,卖出,达到卖点
49,20220422,索菲亚,19.71,146.7081,买入,达到买点
50,20220425,索菲亚,18.34,136.5107,卖出,达到卖点
51,20220425,索菲亚,18.34,136.5107,买入,达到买点
52,20220426,索菲亚,18.54,137.9994,卖出,达到卖点
53,20220426,索菲亚,18.54,137.9994,买入,达到买点
54,20220427,索菲亚,18.77,139.7113,卖出,达到卖点
55,20220427,索菲亚,18.77,139.7113,买入,达到买点
56,20220428,索菲亚,19.05,145.8194,卖出,达到卖点
57,20220428,索菲亚,19.05,145.8194,买入,达到买点
58,20220429,索菲亚,20.4,156.153,卖出,达到卖点
59,20220429,索菲亚,20.4,156.153,买入,达到买点
60,20220505,荣盛发展,3.63,,卖出,R15剔除卖出
61,20220505,正泰电器,33.21,18.4674,卖出,R15剔除卖出
62,20220505,华东医药,33.85,26.3528,卖出,R15剔除卖出
63,20220505,万科A,19.43,9.968,卖出,R15剔除卖出
64,20220505,恒瑞医药,29.68,44.3329,卖出,R15剔除卖出
65,20220505,联美控股,6.87,15.4813,卖出,R15剔除卖出
66,20220505,索菲亚,19.73,151.0245,卖出,R15剔除卖出
67,20220505,嘉化能源,10.69,7.3962,买入,达到买点
68,20220506,海康威视,34.8,19.4072,买入,达到买点
69,20220905,伊利股份,33.37,22.4416,买入,达到买点
70,20221018,东方雨虹,24.48,16.9745,买入,达到买点
71,20221027,贵州茅台,1401.0,29.5322,买入,达到买点
72,20221027,双汇发展,24.08,15.2277,买入,达到买点
73,20221028,海天味业,61.7,43.1219,买入,达到买点
74,20221031,今世缘,37.38,19.4433,买入,达到买点
